# [폐기 2026-07-15] 이 파일은 더 이상 읽히지 않는다 - 드랍 규칙은 Data/monsters.yml 의 각 몬스터 drops 목록으로 흡수됨.
#   여기를 수정해도 게임에 반영되지 않음 (이력 보존용 존치. 드랍 조정은 monsters.yml 에서).
# 몬스터 드랍 표 (서버 전용 - 클라에 배포/노출하지 않음. 드랍률 데이터마이닝 차단)
# 컬럼: monsterType, templateId, chancePermil, minQty, maxQty
# monsterType: 0=GOBLIN 1=ORC 2=OGRE 3=SLIME 4=FENRIR(보스) 5=WOLF 6=BEAR 7=TROLL 8=GOLEM(보스급)
# chancePermil: 천분율 (1000 = 100%). 행마다 독립 추첨 - 한 몬스터가 여러 행 당첨 가능.
0, 1001, 300, 1, 2
0, 4001, 500, 1, 3
1, 1001, 350, 1, 2
1, 2001, 80, 1, 1
2, 1002, 250, 1, 1
2, 2002, 60, 1, 1
2, 3001, 100, 1, 1
3, 1001, 400, 1, 3
3, 4001, 600, 1, 5
4, 2003, 300, 1, 1
4, 3003, 250, 1, 1
4, 1002, 800, 2, 3
5, 4002, 550, 1, 2
5, 1001, 300, 1, 2
6, 4002, 700, 2, 4
6, 3002, 90, 1, 1
7, 1002, 300, 1, 2
7, 2002, 100, 1, 1
8, 4003, 900, 1, 2
8, 2003, 200, 1, 1
8, 3003, 180, 1, 1
