# 아이템 사전 (서버 + 클라 공유 단일 진실원. wire엔 templateId만 실림)
# 컬럼: templateId, name, type, atkPower, defPower, hpRestore, stackMax
# type: 0=무기(EQUIP_WEAPON) 1=방어구(EQUIP_ARMOR) 2=소모품(CONSUME) 3=기타(ETC)
# 주의: 드랍 확률은 서버 전용 monsters.yml 의 몬스터별 drops 목록 소관 (클라 노출 금지). templateId는 유일해야 함.
1001, 빨간 포션, 2, 0, 0, 50, 99
1002, 파란 포션, 2, 0, 0, 120, 99
2001, 낡은 검, 0, 10, 0, 0, 1
2002, 강철 검, 0, 25, 0, 0, 1
2003, 기사의 검, 0, 45, 0, 0, 1
3001, 가죽 갑옷, 1, 0, 8, 0, 1
3002, 사슬 갑옷, 1, 0, 15, 0, 1
3003, 판금 갑옷, 1, 0, 25, 0, 1
4001, 달팽이 껍질, 3, 0, 0, 0, 99
4002, 늑대 가죽, 3, 0, 0, 0, 99
4003, 골렘의 핵, 3, 0, 0, 0, 9
