# 공유 포탈 표 - 서버(트리거 검증+이동)와 클라(렌더+근접 판정)가 함께 읽는 단일 진실원.
# portalId = 행 순서(0부터 연속). '#' 시작 줄과 빈 줄은 무시.
# 형식: srcMapId,triggerX,triggerY,triggerRadius,dstMapId,dstX,dstY
# map0 <-> map1 <-> ... <-> map8 선형 연결. 도착(dst)은 귀환 포탈에서 떨어뜨려 즉시 재이동 방지.
0,3800,2000,400,1,700,2000
1,200,2000,400,0,3300,2000
1,3800,2000,400,2,700,2000
2,200,2000,400,1,3300,2000
2,3800,2000,400,3,700,2000
3,200,2000,400,2,3300,2000
3,3800,2000,400,4,700,2000
4,200,2000,400,3,3300,2000
4,3800,2000,400,5,700,2000
5,200,2000,400,4,3300,2000
5,3800,2000,400,6,700,2000
6,200,2000,400,5,3300,2000
6,3800,2000,400,7,700,2000
7,200,2000,400,6,3300,2000
7,3800,2000,400,8,700,2000
8,200,2000,400,7,3300,2000
